# Sena Firmware Device List (Parsed from Official Firmware List)
# Format: DEVICE | MAX_VERSION | LATEST_URL
#
SPH10H-FM|5.1|https://firmware.sena.com/senabluetoothmanager/SPH10H-FM-v5.1.2.img
SPH10S|5.0|https://firmware.sena.com/senabluetoothmanager/SPH10S-v5.0.img
SRL|1.1|https://firmware.sena.com/senabluetoothmanager/Neotec2-v1.1.5-build0.img
SRL2|1.0|https://firmware.sena.com/senabluetoothmanager/Sena_SRL2-v1.0.9-build0.img
SRL3|1.5|https://firmware.sena.com/senabluetoothmanager/SRL3-v1.5-build0.img
SRLMesh|1.7|https://firmware.sena.com/senabluetoothmanager/SRL-Mesh-v1.7-build0.img
ST1|1.2|https://firmware.sena.com/senabluetoothmanager/SPIDER_ST1-v1.2.2-build1.img
Stryker|1.4|https://firmware.sena.com/senabluetoothmanager/Stryker-v1.4.1-build0.img
SX-COM|1.0|https://firmware.sena.com/senabluetoothmanager/SX-COM-v1.0.img
SX.COM2|1.2|https://firmware.sena.com/senabluetoothmanager/SX.COM2-v1.2.2.img
TRIUMPH_50S|1.5|https://firmware.sena.com/senabluetoothmanager/Triumph_50S_v1.5-build1.img
Tufftalk|1.2|https://firmware.sena.com/senabluetoothmanager/Tufftalk-v1.2.3.img
Tufftalk_Lite|1.0|https://firmware.sena.com/senabluetoothmanager/TufftalkLite-v1.0.4-build1.img
UCOM16|1.1|https://firmware.sena.com/senabluetoothmanager/UCOM16_v1.1-build1-p1.img
UCOM2|1.0|https://firmware.sena.com/senabluetoothmanager/U-COM2_v1.0.6-build0-p1.img
UCOM3|1.4|https://firmware.sena.com/senabluetoothmanager/ucom3-v1.4.1-build0-lp2.img
UCOM3HD|1.4|https://firmware.sena.com/senabluetoothmanager/ucom3hd-v1.4.1-build0-lp2.img
UCOM4|1.0|https://firmware.sena.com/senabluetoothmanager/U-COM4_v1.0.6-build0-p1.img
UCOM6R|1.3|https://firmware.sena.com/senabluetoothmanager/UCOM6R-v1.3.1-build0-lp2.img
UCOM7R|1.3|https://firmware.sena.com/senabluetoothmanager/UCOM7R-v1.3.1-build0-lp2.img
UCOM8R|1.3|https://firmware.sena.com/senabluetoothmanager/U-COM_8R-v1.3-build0-lp2.img
X-COM|1.1|https://firmware.sena.com/senabluetoothmanager/X-COM-v1.1.1.img
X-COM2|1.0|https://firmware.sena.com/senabluetoothmanager/X-COM2-v1.0.5.img
X1|1.1|https://firmware.sena.com/senabluetoothmanager/X1-v1.1.1-build0.img
X1_Pro|1.0|https://firmware.sena.com/senabluetoothmanager/X1-Pro-v1.0.2.img
X1S|1.2|https://firmware.sena.com/senabluetoothmanager/X1S-v1.2.img
